millis,frequency,resistance,reactance,magnitude
3296,51.00,4340,-3655,5674.031
3511,51.00,4339,-3653,5671.9775
3726,51.00,4339,-3653,5671.9775
3939,51.00,4339,-3653,5671.9775
4152,51.00,4339,-3653,5671.9775
4367,51.00,4339,-3653,5671.9775
4564,51.00,4340,-3657,5675.3193
4786,51.00,4340,-3657,5675.3193
4986,51.00,4340,-3657,5675.3193
5203,51.00,4340,-3657,5675.3193
5406,51.00,4340,-3657,5675.3193
5601,51.00,4340,-3657,5675.3193
5815,51.00,4341,-3655,5674.7954
6027,51.00,4341,-3655,5674.7954
6238,51.00,4341,-3655,5674.7954
6451,51.00,4341,-3655,5674.7954
6663,51.00,4341,-3655,5674.7954
6876,51.00,4341,-3657,5676.084
7090,51.00,4341,-3657,5676.084
7301,51.00,4341,-3657,5676.084
7513,51.00,4341,-3657,5676.084
7725,51.00,4341,-3657,5676.084
7938,51.00,4341,-3657,5676.084
8153,51.00,4342,-3655,5675.5605
8368,51.00,4342,-3655,5675.5605
8581,51.00,4342,-3655,5675.5605
8794,51.00,4342,-3655,5675.5605
9006,51.00,4342,-3655,5675.5605
9217,51.00,4342,-3655,5675.5605
9429,51.00,4342,-3655,5675.5605
9640,51.00,4342,-3655,5675.5605
9855,51.00,4342,-3655,5675.5605
10066,51.00,4342,-3655,5675.5605
10278,50.00,4177,-3877,5698.9873
10493,51.00,4235,-3801,5690.591
10689,51.00,4235,-3801,5690.591
10902,51.00,4235,-3801,5690.591
11114,51.00,4235,-3801,5690.591
11326,51.00,4235,-3801,5690.591
11538,51.00,4265,-3758,5684.4336
11750,51.00,4265,-3758,5684.4336
11974,51.00,4265,-3758,5684.4336
12179,51.00,4265,-3758,5684.4336
12389,51.00,4265,-3758,5684.4336
12609,50.00,4238,-3799,5691.489
12829,51.00,4293,-3723,5682.48
13041,51.00,4293,-3723,5682.48
13246,51.00,4293,-3723,5682.48
13458,51.00,4293,-3723,5682.48
13668,51.00,4293,-3723,5682.48
13864,51.00,4339,-3665,5679.7134
14070,51.00,4339,-3665,5679.7134
14290,51.00,4339,-3665,5679.7134
14490,51.00,4339,-3665,5679.7134
14680,51.00,4339,-3665,5679.7134
14900,50.00,4280,-3744,5686.4697
15106,51.00,4334,-3667,5677.186
15316,51.00,4334,-3667,5677.186
15526,51.00,4334,-3667,5677.186
15736,51.00,4334,-3667,5677.186
15960,51.00,4334,-3667,5677.186
16164,51.00,4341,-3664,5680.5967
