millis,frequency,resistance,reactance,magnitude
13509,51.00,4229,-3645,5583.0513
13709,51.00,4229,-3645,5583.0513
13928,51.00,4229,-3645,5583.0513
14140,51.00,4230,-3647,5585.1147
14362,51.00,4230,-3647,5585.1147
14562,51.00,4230,-3647,5585.1147
14762,51.00,4230,-3647,5585.1147
14969,51.00,4230,-3647,5585.1147
15169,50.00,4176,-3721,5593.283
15386,51.00,4232,-3646,5585.977
15586,51.00,4232,-3646,5585.977
15796,51.00,4232,-3646,5585.977
16006,51.00,4232,-3646,5585.977
16209,51.00,4232,-3646,5585.977
16423,51.00,4230,-3648,5585.768
16623,51.00,4230,-3648,5585.768
