millis,frequency,resistance,reactance,magnitude
4798,,4262,-3861,5750.8228
5003,,4262,-3861,5750.8228
5215,,4262,-3861,5750.8228
5427,,4262,-3861,5750.8228
5642,,4262,-3861,5750.8228
5854,,4266,-3864,5755.802
6067,,4266,-3864,5755.802
6279,,4266,-3864,5755.802
6496,,4266,-3864,5755.802
6701,,4266,-3864,5755.802
6912,,4233,-3871,5736.1074
7125,,4233,-3871,5736.1074
7338,,4233,-3871,5736.1074
7549,,4233,-3871,5736.1074
7751,,4233,-3871,5736.1074
7964,,4233,-3871,5736.1074
8184,,3796,-3869,5420.219
8387,,3796,-3869,5420.219
8607,,3796,-3869,5420.219
8797,,3796,-3869,5420.219
9003,,3796,-3869,5420.219
9219,,1188,-2803,3044.3643
9439,,1188,-2803,3044.3643
9648,,1188,-2803,3044.3643
9858,,1188,-2803,3044.3643
10074,,1188,-2803,3044.3643
10274,,1188,-2803,3044.3643
10474,,1281,-3026,3285.9758
10684,,1281,-3026,3285.9758
10904,,1281,-3026,3285.9758
11104,,1281,-3026,3285.9758
11314,,1281,-3026,3285.9758
11514,,1501,-3065,3412.8032
11724,,1501,-3065,3412.8032
11934,,1501,-3065,3412.8032
12143,,1501,-3065,3412.8032
12353,,1501,-3065,3412.8032
12577,,1501,-3065,3412.8032
12777,,1456,-3108,3432.142
12987,,1456,-3108,3432.142
13197,,1456,-3108,3432.142
13417,,1456,-3108,3432.142
13627,,1456,-3108,3432.142
13827,,703,-2648,2739.7285
14027,,703,-2648,2739.7285
14247,,703,-2648,2739.7285
14437,,703,-2648,2739.7285
14647,,703,-2648,2739.7285
14850,,703,-2648,2739.7285
15050,,1510,-2904,3273.12
15260,,1510,-2904,3273.12
15460,,1510,-2904,3273.12
15669,,1510,-2904,3273.12
15879,,1510,-2904,3273.12
16099,,1826,-3336,3803.0476
16319,,1873,-3336,3825.8364
16529,,1873,-3336,3825.8364
16739,,1873,-3336,3825.8364
16959,,1873,-3336,3825.8364
17175,,1873,-3336,3825.8364
17395,,824,-3002,3113.034
17605,,824,-3002,3113.034
17825,,824,-3002,3113.034
18047,,824,-3002,3113.034
18251,,824,-3002,3113.034
18467,,1312,-3052,3322.0547
18685,,1312,-3052,3322.0547
18907,,1312,-3052,3322.0547
19122,,1312,-3052,3322.0547
19325,,1312,-3052,3322.0547
19535,,1312,-3052,3322.0547
19745,,193,-2677,2683.9482
19955,,193,-2677,2683.9482
20165,,193,-2677,2683.9482
20375,,193,-2677,2683.9482
20589,,193,-2677,2683.9482
20809,,945,-3256,3390.363
21009,,945,-3256,3390.363
21209,,945,-3256,3390.363
21419,,945,-3256,3390.363
21629,,945,-3256,3390.363
21829,,945,-3256,3390.363
22049,,1169,-3396,3591.5703
22259,,1169,-3396,3591.5703
22469,,1169,-3396,3591.5703
22669,,1169,-3396,3591.5703
22879,,1169,-3396,3591.5703
23079,,1085,-3433,3600.377
23299,,1085,-3433,3600.377
23512,,1085,-3433,3600.377
23722,,1085,-3433,3600.377
23932,,1085,-3433,3600.377
24142,,1085,-3433,3600.377
24352,,1189,-3555,3748.566
24562,,1189,-3555,3748.566
24772,,1189,-3555,3748.566
24992,,1189,-3555,3748.566
25202,,1189,-3555,3748.566
25412,,939,-3522,3645.0247
25622,,939,-3522,3645.0247
25832,,939,-3522,3645.0247
26032,,939,-3522,3645.0247
26252,,939,-3522,3645.0247
26452,,939,-3522,3645.0247
26662,,992,-3661,3793.0178
26881,,992,-3661,3793.0178
27091,,992,-3661,3793.0178
27301,,992,-3661,3793.0178
27501,,992,-3661,3793.0178
27721,,1961,-2229,2968.8318
27931,,1961,-2229,2968.8318
28158,,1961,-2229,2968.8318
28365,,1961,-2229,2968.8318
28575,,1961,-2229,2968.8318
28805,,2559,-2408,3513.822
29022,,2605,-2371,3522.4517
29234,,2605,-2371,3522.4517
29444,,2605,-2371,3522.4517
29664,,2605,-2371,3522.4517
29864,,2605,-2371,3522.4517
30077,,1806,-1639,2438.8433
30281,,1806,-1639,2438.8433
30478,,1806,-1639,2438.8433
30688,,1806,-1639,2438.8433
30898,,1806,-1639,2438.8433
31118,,1974,-1884,2728.7603
31317,,2005,-1852,2729.4558
31539,,2005,-1852,2729.4558
31749,,2005,-1852,2729.4558
31959,,2005,-1852,2729.4558
32169,,2005,-1852,2729.4558
32383,,2223,-1967,2968.3022
32597,,2223,-1967,2968.3022
32807,,2223,-1967,2968.3022
33017,,2223,-1967,2968.3022
33237,,2223,-1967,2968.3022
33438,,2302,-2123,3131.5066
33648,,2336,-2087,3132.4854
33858,,2336,-2087,3132.4854
34070,,2336,-2087,3132.4854
34270,,2336,-2087,3132.4854
34480,,2336,-2087,3132.4854
34690,,2037,-1804,2720.9897
34900,,2037,-1804,2720.9897
35120,,2037,-1804,2720.9897
35330,,2037,-1804,2720.9897
35540,,2037,-1804,2720.9897
35754,,2805,-2719,3906.5312
35964,,2852,-2682,3914.9749
36184,,2852,-2682,3914.9749
36404,,2852,-2682,3914.9749
36609,,2852,-2682,3914.9749
36821,,2852,-2682,3914.9749
