millis,frequency,resistance,reactance,magnitude
2411,683,
,-3692,5610.8364
2621,683,
,-3692,5610.8364
2821,683,
,-3692,5610.8364
3021,683,
,-3692,5610.8364
3236,683,
,-3692,5610.8364
3446,683,
,-3692,5610.8364
3676,683,
,-3692,5610.8364
3885,683,
,-3692,5610.8364
4085,683,
,-3692,5610.8364
4305,683,
,-3692,5610.8364
4513,683,
,-3692,5610.8364
4732,683,
,-3692,5610.8364
4942,683,
,-3692,5610.8364
5152,683,
,-3692,5610.8364
5362,683,
,-3692,5610.8364
5562,683,
,-3692,5610.8364
5762,683,
,-3692,5610.8364
5975,683,
,-3692,5610.8364
6175,683,
,-3692,5610.8364
6375,683,
,-3692,5610.8364
6589,683,
,-3692,5610.8364
6799,683,
,-3692,5610.8364
7009,683,
,-3692,5610.8364
7209,683,
,-3692,5610.8364
7409,683,
,-3692,5610.8364
7625,683,
,-3692,5610.8364
7841,683,
,-3692,5610.8364
8041,683,
,-3692,5610.8364
8269,683,
,-3692,5610.8364
8473,683,
,-3692,5610.8364
8683,683,
,-3692,5610.8364
8883,683,
,-3692,5610.8364
9085,683,
,-3692,5610.8364
9285,683,
,-3692,5610.8364
9505,683,
,-3692,5610.8364
9725,683,
,-3692,5610.8364
9944,683,
,-3692,5610.8364
10144,683,
,-3692,5610.8364
10357,683,
,-3692,5610.8364
10568,683,
,-3692,5610.8364
10788,683,
,-3692,5610.8364
11011,683,
,-3692,5610.8364
11224,683,
,-3692,5610.8364
11444,683,
,-3692,5610.8364
11654,683,
,-3692,5610.8364
11879,683,
,-3692,5610.8364
12089,683,
,-3692,5610.8364
12292,683,
,-3692,5610.8364
12512,683,
,-3692,5610.8364
12732,683,
,-3692,5610.8364
12932,683,
,-3692,5610.8364
13152,683,
,-3692,5610.8364
13352,683,
,-3692,5610.8364
13562,683,
,-3692,5610.8364
13762,683,
,-3692,5610.8364
13981,683,
,-3692,5610.8364
14191,683,
,-3692,5610.8364
14403,683,
,-3692,5610.8364
14626,683,
,-3692,5610.8364
14833,683,
,-3692,5610.8364
15033,683,
,-3692,5610.8364
15253,683,
,-3692,5610.8364
