millis,frequency,resistance,reactance,magnitude
62940,50.00,-651,-828,1053.2734
63140,51.00,-636,-837,1051.2207
63353,51.00,-636,-837,1051.2207
63562,51.00,-636,-837,1051.2207
63762,51.00,-636,-837,1051.2207
63974,51.00,-636,-837,1051.2207
64177,51.00,-939,-1378,1667.5146
64376,51.00,-939,-1378,1667.5146
64592,51.00,-939,-1378,1667.5146
64812,51.00,-939,-1378,1667.5146
65022,51.00,-939,-1378,1667.5146
65237,50.00,11574,-16757,20365.523
65468,51.00,12124,-16358,20361.129
65678,51.00,12124,-16358,20361.129
65892,51.00,12124,-16358,20361.129
66102,51.00,12124,-16358,20361.129
66322,51.00,12124,-16358,20361.129
66532,51.00,13059,-15627,20365.182
66742,51.00,13059,-15627,20365.182
66942,51.00,13059,-15627,20365.182
67152,51.00,13059,-15627,20365.182
67362,51.00,13059,-15627,20365.182
67592,51.00,13030,-15648,20362.73
67783,51.00,13030,-15648,20362.73
68003,51.00,13030,-15648,20362.73
68210,51.00,13030,-15648,20362.73
68413,51.00,13030,-15648,20362.73
68626,51.00,13030,-15648,20362.73
68839,51.00,-1026,-1531,1842.9967
69048,51.00,-1026,-1531,1842.9967
69268,51.00,-1026,-1531,1842.9967
69478,51.00,-1026,-1531,1842.9967
69678,51.00,-1026,-1531,1842.9967
69888,50.00,12790,-15852,20368.357
70107,51.00,13113,-15580,20363.87
70307,51.00,13113,-15580,20363.87
70517,51.00,13113,-15580,20363.87
70737,51.00,13113,-15580,20363.87
70957,51.00,13113,-15580,20363.87
71167,51.00,-1002,-1511,1813.043
71387,51.00,-1002,-1511,1813.043
71587,51.00,-1002,-1511,1813.043
71807,51.00,-1002,-1511,1813.043
72020,51.00,-1002,-1511,1813.043
72240,51.00,12534,-16048,20362.697
72460,51.00,12534,-16048,20362.697
72660,51.00,12534,-16048,20362.697
72860,51.00,12534,-16048,20362.697
73070,51.00,12534,-16048,20362.697
73284,51.00,12534,-16048,20362.697
73498,51.00,-1041,-1580,1892.1102
73698,51.00,-1041,-1580,1892.1102
73898,51.00,-1041,-1580,1892.1102
74126,51.00,-1041,-1580,1892.1102
74348,51.00,-1041,-1580,1892.1102
74548,51.00,12353,-16186,20361.316
74748,51.00,12353,-16186,20361.316
74948,51.00,12353,-16186,20361.316
75168,51.00,12353,-16186,20361.316
75368,51.00,12353,-16186,20361.316
75568,51.00,12353,-16186,20361.316
75778,51.00,-1069,-1614,1935.9125
75970,51.00,-1069,-1614,1935.9125
76196,51.00,-1069,-1614,1935.9125
